 LAMMPS data file for ring polymer of length 200
 
         200 atoms
         201 bonds
 
           2 atom types
           1 bond types
 
 Masses
 
           1   1.00000000    
           2   1.00000000    
 
 Atoms
 
           1           0           2   2.3942631234581131       -1.6008177650183277E-002 -0.33107069394089650                0           0           0
           2           0           2   1.4742230750266572      -0.29841024317400278      -0.31819701431364966                0           0           0
           3           0           2   1.4535863395001705      -0.38366706577470455       -1.3528790067569814                0           0           0
           4           0           2   2.1692045487376124       -1.0351388161871553       -1.8430793926796250                0           0           0
           5           0           2   1.7335136763237391      -0.52924514574354431       -2.7101781745565829                0           0           0
           6           0           2   1.1074632629909917        8.0138803615925194E-002  -2.1950900092810532                0           0           0
           7           0           2   1.6894534018426559       0.81590973126831778       -1.6279950944565733                0           0           0
           8           0           2   1.1010723451683737       0.45261170036577125      -0.85857172538183757                0           0           0
           9           0           2  0.68296408533024078      -0.14781282569579296      -0.13919251369735453                0           0           0
          10           0           2  0.44598905606164252       0.35769531376759151       0.65280906845030406                0           0           0
          11           0           2  0.11192175475095852      -0.14247123026451619        1.3917442889396798                0           0           0
          12           0           2 -0.63114029525752180      -0.46555834610216862        1.8181012016840072                0           0           0
          13           0           2 -0.44972186270448133      -0.71985698800811349        2.8161464695361369                0           0           0
          14           0           2  0.46051366291657464      -0.71117978445666918        3.1083628603364137                0           0           0
          15           0           2  0.32051465804174306       0.11082178956529358        2.5902091493831705                0           0           0
          16           0           2   1.0720276934925115       0.51607468544561730        3.1302351601371985                0           0           0
          17           0           2   1.9065757399012249        1.1899403552952306        2.9326520005174066                0           0           0
          18           0           2   1.3241963428650410        2.0282131254907876        2.9178424250925263                0           0           0
          19           0           2   1.9342227779849357        1.9076648412057602        2.1785187229794492                0           0           0
          20           0           2   2.4899466841653353        1.5945953230524446        1.4211925409451933                0           0           0
          21           0           2   2.6779011463221494       0.80714726791023550        1.1347390517987996                0           0           0
          22           0           2   2.7649135237302951       0.70662630192451958       0.25986309679845260                0           0           0
          23           0           2   3.0168861602321644       0.57608243179497676      -0.62436092063451165                0           0           0
          24           0           2   3.4479127520942270       0.91733973849459272       -1.5346501034358297                0           0           0
          25           0           2   2.7722480350177827        1.3844310532171420       -2.2587133930148378                0           0           0
          26           0           2   1.9692700989250502        1.1566683333877739       -2.5633592615100325                0           0           0
          27           0           2   1.0528261518428761        1.4916824241971054       -3.0055133136427354                0           0           0
          28           0           2   1.4606299230172126        1.6468506209100862       -2.2535344992862694                0           0           0
          29           0           2   1.1890153904544294        2.6296664011136035       -2.4736789324011910                0           0           0
          30           0           2   1.6485839130620690        2.8711732862070831       -1.5901178876909161                0           0           0
          31           0           2   2.5645527757259603        2.2319053319644748       -1.3926607841966800                0           0           0
          32           0           2   3.2617607048250798        1.7590768500077931      -0.77193143130577646                0           0           0
          33           0           2   3.7719143275331990        1.1930165269518647      -0.38369550762004506                0           0           0
          34           0           2   3.3816104200016501        2.0779529066696227       0.14281460395096301                0           0           0
          35           0           2   2.6315578760314389        1.6743701980991004      -0.24568356782692780                0           0           0
          36           0           2   2.6434288591780448        2.6066685744398033       0.31482080738119622                0           0           0
          37           0           2   1.8515060452869232        2.4038532364584433       0.14165259998447194                0           0           0
          38           0           2   1.2669619737676630        2.8531108331420398       0.70513244077014792                0           0           0
          39           0           2  0.26949617762124284        3.1458057887554349        1.0335509854204845                0           0           0
          40           0           2  0.15907963573454920        2.5159036142836784       0.13222111430146358                0           0           0
          41           0           2  0.26574487387557022        1.8453293526804857      -0.68329011456328126                0           0           0
          42           0           2   1.2025099525315326        1.4147600397925209      -0.67605518747450866                0           0           0
          43           0           2   1.7041773114609571       0.66718672032982329      -0.13056915031109340                0           0           0
          44           0           2   1.9329744742305510        1.5987584850712595       0.37226715232318541                0           0           0
          45           0           2   1.2429263400345083        1.0101608791999575       0.71912958488567724                0           0           0
          46           0           2   1.9267383590582212       0.79085797369923028        1.3843952656397185                0           0           0
          47           0           2   1.2356346232728548        1.4567190589969430        1.5873940251011729                0           0           0
          48           0           2  0.60845213998218339        1.9636363007695226        1.1230467430870481                0           0           0
          49           0           2 -0.33175647434663913        1.6982720489668957        1.1813103803345579                0           0           0
          50           0           2 -0.33199098410317651        1.7029004063551907       0.30061037404283714                0           0           0
          51           0           1  -1.0244290323662142        2.1376001902569186       0.90111111574388769                0           0           0
          52           0           1 -0.79337617667559712        2.4293795362720960       -5.6213739587243489E-002           0           0           0
          53           0           1  -1.6301657303580388        2.9747239577071709      -0.48499479543214685                0           0           0
          54           0           1  -1.1312819427920666        3.2666511595206251       0.31538743241389533                0           0           0
          55           0           1 -0.63473303608325393        3.8651908442504128      -0.44754573756747801                0           0           0
          56           0           1 -0.17817251506021906        3.5668459582578844       0.35413324807151769                0           0           0
          57           0           1  0.67385966711172096        3.7736844922584858       0.69987015537928599                0           0           0
          58           0           1   1.2385582641233659        3.6270542787280378      -0.13674180784568701                0           0           0
          59           0           1  0.50708453741617432        3.3943575158796508      -0.80671291044667592                0           0           0
          60           0           1 -0.23789178534536221        3.4661606015368562       -1.3264304448862847                0           0           0
          61           0           1  -5.6524200743890314E-002   2.9376614588001897       -2.0671792287803816                0           0           0
          62           0           1  0.44189454166922937        2.1318779237605145       -2.2576492289897332                0           0           0
          63           0           1 -0.34858516054810185        1.5060044963507762       -2.0646466379668587                0           0           0
          64           0           1 -0.84023761886287218        2.1600757578990000       -1.5556928808399610                0           0           0
          65           0           1 -0.43219347529797619        1.3081737681088494       -1.3367647808596863                0           0           0
          66           0           1 -0.15724306178606745       0.64960883226017030      -0.50532807984221884                0           0           0
          67           0           1 -0.78326073535691587        5.5285591465760779E-002   2.3401875489283209E-003           0           0           0
          68           0           1 -0.43610440194784295       0.83889043159487831       0.42144067229418808                0           0           0
          69           0           1  -1.1564696477627956        1.2144878589183206       0.91693796451729637                0           0           0
          70           0           1  -1.6891792926044260        1.4705909442458724        1.6673606966594141                0           0           0
          71           0           1  -2.4276294406334484        2.1602342478954895        1.8489904298576365                0           0           0
          72           0           1  -3.0062096272186198        1.5263381623384980        1.0869969150949705                0           0           0
          73           0           1  -2.1305261084964795        1.4588055429182185       0.78218785059242657                0           0           0
          74           0           1  -2.0826468451483575        2.4314571479209071        1.0537204499342212                0           0           0
